,age,avg_time,category,geek_rating,id,max_players,mechanic,min_players,name,rank,rating_count,weight,year
0,14,60,"['Expansion for Base-game', 'Miniatures']",7.4429,246783,4,[],2,Wildlands: The Unquiet Dead,,1,2.0,2018
1,12,60,"['Bluffing', 'Negotiation', 'Party Game']",6.21277,205776,9,"['Partnerships', 'Voting']",5,Gentleman's Deal,12558.0,1,1.0,2016
2,8,25,"['Deduction', 'Fantasy']",5.674930000000001,188129,6,"['Hand Management', 'Trick-taking']",2,Heroes and Tricks,13663.0,0,0.0,2017
3,14,20,"['Card Game', 'Fantasy', 'Fighting']",5.97778,206083,2,"['Rock-Paper-Scissors', 'Simultaneous Action Selection']",2,Ragers: Champions of the Arena,13323.0,1,1.0,2016
4,8,30,"['Animals', 'Educational']",7.158060000000001,201006,5,['Action / Movement Programming'],2,Bumúntú,6390.0,2,2.0,2019
5,10,90,"['Adventure', 'Card Game', 'Expansion for Base-game', 'Fantasy', 'Horror', 'Print & Play', 'Real-time']",7.2720199999999995,232990,6,"['Cooperative Play', 'Deck / Pool Building', 'Dice Rolling', 'Role Playing']",1,Expedition: The Horror,,0,0.0,2017
6,12,60,"['Bluffing', 'Deduction', 'Murder/Mystery']",5.71,166048,10,"['Hand Management', 'Memory', 'Player Elimination', 'Point to Point Movement']",2,Hitman Holiday,,4,2.75,2015
7,12,120,"['Racing', 'Sports']",8.3194,256839,4,"['Action / Movement Programming', 'Simulation']",2,VektoRace,3426.0,6,2.3333,2018
8,10,45,"['Ancient', 'Civilization', 'Exploration', 'Prehistoric', 'Territory Building']",6.795960000000001,258104,4,"['Grid Movement', 'Tile Placement']",2,Tribes: Dawn of Humanity,6801.0,5,2.4,2018
9,0,0,"['Ancient', 'Wargame']",6.90385,182410,1,['Area Movement'],1,The First Crusade,,2,2.0,2016
10,14,90,"['Adventure', 'Exploration', 'Territory Building']",8.58667,240096,4,"['Action Point Allowance System', 'Area Control / Area Influence', 'Dice Rolling', 'Modular Board', 'Tile Placement', 'Worker Placement']",1,Moonshiners of the Apocalypse,11613.0,19,2.2105,2019
11,8,20,"['Action / Dexterity', 'Party Game']",7.03299,241796,6,['Pattern Recognition'],3,Nut So Fast,5451.0,1,1.0,2018
12,10,25,"['Bluffing', 'Card Game']",6.35625,194231,4,[],2,Poker Assault,10965.0,2,2.0,2016
13,8,60,"['Adventure', ""Children's Game"", 'Expansion for Base-game', 'Fantasy']",8.17619,256608,4,"['Cooperative Play', 'Dice Rolling', 'Roll / Spin and Move']",2,Ghost Fightin' Treasure Hunters: Creepy Cellar Expansion,,0,0.0,2018
14,8,15,"['Deduction', 'Party Game']",6.29681,233206,10,['Set Collection'],3,Werebeasts,9524.0,2,1.5,2018
15,0,0,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Fighting']",7.79515,202104,4,['Deck / Pool Building'],2,Hero Realms: Character Pack – Fighter,,3,2.3333,2016
16,10,40,"['Real-time', 'Trivia', 'Word Game']",6.75517,248002,4,[],2,TAGS,4827.0,4,1.25,2018
17,14,40,"['Exploration', 'Fantasy', 'Territory Building', 'Video Game Theme']",6.94222,220843,4,"['Area Enclosure', 'Modular Board', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']",2,Overworld,9590.0,3,2.0,2019
18,13,30,"['Card Game', 'Exploration', 'Fantasy', 'Territory Building']",7.31842,231309,4,"['Hand Management', 'Player Elimination', 'Variable Player Powers']",2,Magic: The Gathering – Explorers of Ixalan,5842.0,3,3.0,2017
19,14,90,"['American West', 'Horror', 'Miniatures', 'Wargame']",8.71875,231683,8,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Variable Player Powers']",2,Dracula's America: Shadows of the West,,0,0.0,2017
20,13,60,['Expansion for Base-game'],7.696969999999999,231946,7,[],3,Last Friday: Return to Camp Apache,,0,0.0,2017
21,13,30,"['Bluffing', 'Card Game', 'Deduction', 'Political', 'Print & Play']",6.8,176245,6,[],2,Dune: The Art of Kanly,,1,2.0,2015
22,12,60,"['Miniatures', 'Napoleonic', 'Wargame']",7.46667,228509,2,"['Dice Rolling', 'Grid Movement', 'Modular Board']",2,TravelBattle,10822.0,4,2.0,2017
23,10,30,['Party Game'],6.45385,193436,99,[],4,Double Ditto,,1,1.0,2015
24,14,90,"['Dice', 'Expansion for Base-game', 'Renaissance']",7.695119999999999,264078,4,"['Card Drafting', 'Dice Rolling', 'Set Collection']",2,Coimbra: Royal Treatment,,0,0.0,2018
25,12,150,"['Animals', 'Economic', 'Farming']",6.5,183316,5,"['Area Enclosure', 'Card Drafting', 'Hand Management', 'Worker Placement']",1,Agricola: Glon­na­cker,,0,0.0,2015
26,12,90,"['Card Game', 'Fantasy']",6.93617,185582,5,"['Cooperative Play', 'Deck / Pool Building']",2,The Big Book of Madness: Golem promo,,0,0.0,2015
27,14,15,"['Bluffing', 'Card Game']",5.755330000000001,207814,6,"['Memory', 'Press Your Luck', 'Take That']",2,Shadow Games,13569.0,0,0.0,2016
28,8,30,['Adventure'],6.13662,257273,5,"['Roll / Spin and Move', 'Set Collection']",2,Ghosts of the Moor,10126.0,2,1.0,2018
29,13,90,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Novel-based']",8.39114,182785,2,['Cooperative Play'],1,The Lord of the Rings: The Card Game – Murder at the Prancing Pony,,4,3.75,2015
30,10,60,"['Expansion for Base-game', 'Movies / TV / Radio theme', 'Real-time', 'Science Fiction']",7.67766,192880,4,"['Cooperative Play', 'Pick-up and Deliver', 'Storytelling']",1,Thunderbirds: Above & Beyond,,3,2.6667,2016
31,6,20,"['Abstract Strategy', 'Card Game', 'Video Game Theme']",6.63333,171779,5,"['Pattern Building', 'Set Collection']",2,GemPacked Cards,8252.0,8,1.375,2015
32,8,10,"['Abstract Strategy', 'Card Game']",5.89048,5078,4,"['Auction/Bidding', 'Hand Management']",2,End of the Line,,4,1.25,1984
33,8,20,['Card Game'],5.35255,171447,6,['Hand Management'],2,Bad Bunnies,15468.0,4,1.0,2015
34,13,60,"['Card Game', 'Fantasy', 'Novel-based']",8.305480000000001,204091,2,"['Cooperative Play', 'Hand Management', 'Variable Player Powers']",1,The Lord of the Rings: The Card Game – The Sands of Harad,,0,0.0,2016
35,12,90,"['Expansion for Base-game', 'Horror', 'Miniatures']",8.17762,145029,4,"['Action Point Allowance System', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']",2,Cthulhu Wars: High Priest Expansion Pack,,3,2.3333,2015
36,10,0,"['Party Game', 'Word Game']",6.16667,21137,99,[],4,Speakeasy,,0,0.0,1996
37,15,120,"['Deduction', 'Murder/Mystery', 'Novel-based', 'Print & Play', 'Science Fiction']",7.46552,187164,5,"['Cooperative Play', 'Role Playing', 'Storytelling']",1,The Martian Investigations,,1,3.0,2015
38,13,0,"['Card Game', 'City Building', 'Expansion for Base-game', 'Fantasy', 'Video Game Theme']",7.190010000000001,225319,6,"['Auction/Bidding', 'Hand Management', 'Player Elimination', 'Take That', 'Variable Player Powers']",2,Boss Monster: Implements of Destruction,,3,2.3333,2017
39,14,360,"['Post-Napoleonic', 'Wargame']",7.79024,251228,2,"['Chit-Pull System', 'Hex-and-Counter', 'Simulation']",1,Radetzky's March: The Hundred Hours Campaign,8019.0,4,2.0,2018
40,14,45,['Video Game Theme'],5.6,223762,6,"['Secret Unit Deployment', 'Trading']",3,Atari's Missile Command,13395.0,4,2.0,2018
41,12,0,['Expansion for Base-game'],7.03412,189661,2,"['Modular Board', 'Set Collection', 'Worker Placement']",2,Targi: The Action Tokens,,4,2.5,2015
42,13,30,"['Card Game', 'Fantasy']",7.411060000000001,230273,4,['Deck / Pool Building'],1,Ascension: Valley of the Ancients,5269.0,5,2.0,2017
43,13,45,['Science Fiction'],7.8,272655,4,"['Set Collection', 'Tile Placement', 'Worker Placement']",2,Darwinauts,,0,0.0,2019
44,8,20,"['Action / Dexterity', 'Card Game', 'Party Game']",5.57144,182049,5,"['Card Drafting', 'Hand Management', 'Pattern Recognition', 'Set Collection']",2,Taste of Poland,13906.0,6,1.1667,2015
45,10,120,"['Card Game', 'Comic Book / Strip', 'Expansion for Base-game']",7.7134,193871,6,"['Card Drafting', 'Dice Rolling', 'Take That', 'Variable Player Powers']",3,Munchkin Marvel 2: Mystic Mayhem,,2,2.0,2016
46,10,0,"['Ancient', 'Expansion for Base-game']",7.377339999999999,213218,4,"['Area Control / Area Influence', 'Modular Board']",2,Imhotep: The Private Ships Mini Expansion,,2,1.5,2016
47,13,15,"['Card Game', 'Electronic', 'Humor', 'Party Game']",5.51579,179701,99,"['Hand Management', 'Simultaneous Action Selection']",3,Game of Phones,14113.0,4,1.0,2015
48,6,45,"['Dice', 'Exploration']",5.3615900000000005,215154,5,"['Dice Rolling', 'Modular Board']",2,Jungli-La,14589.0,0,0.0,2016
49,0,120,"['Wargame', 'World War II']",6.41146,200396,1,['Action Point Allowance System'],1,Long Range Desert Group: Special Operations Against Rommel 1941-1942,11393.0,3,2.3333,2016
50,8,20,['Abstract Strategy'],6.38574,214910,2,"['Action / Movement Programming', 'Modular Board']",2,Tiki,7076.0,6,2.0,2018
51,12,25,"['Card Game', 'Novel-based']",6.9398100000000005,143416,4,"['Hand Management', 'Set Collection']",2,Gothic Doctor,6782.0,10,1.9,2015
52,9,25,"['Card Game', 'Fighting']",7.7,174400,2,"['Hand Management', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2,BattleCON: Wanderers,,0,0.0,2018
53,10,35,"['Party Game', 'Trivia']",6.0106,158267,10,[],3,Double Feature,10261.0,2,1.0,2015
54,14,60,"['Expansion for Base-game', 'Wargame', 'World War II']",8.00383,177222,2,"['Card Drafting', 'Dice Rolling', 'Modular Board', 'Variable Player Powers']",2,Heroes of Normandie: Sainte-Mere Eglise,,3,2.3333,2015
55,8,90,[],6.936539999999999,197084,5,[],2,"Rattle, Battle, Grab the Loot: Angry Ocean",,1,3.0,2016
56,8,20,['Medieval'],7.299010000000001,194307,6,['Campaign / Battle Card Driven'],2,Zipang Portable,7086.0,3,1.3333,2016
57,10,90,['Racing'],6.25,174128,8,[],2,Zambezi: The Expedition Game,10845.0,2,2.0,2015
58,10,30,"['American West', 'Animals', 'Bluffing', 'Humor']",6.81307,207883,5,['Hand Management'],2,OutLawed!,7532.0,4,1.25,2017
59,12,120,"['American Civil War', 'Wargame']",5.79066,1575,2,['Hex-and-Counter'],2,Gettysburg,9344.0,45,3.5556,1977
60,13,90,"['American West', 'Expansion for Base-game', 'Trains']",7.89536,247102,5,"['Action Point Allowance System', 'Pick-up and Deliver', 'Stock Holding', 'Tile Placement']",2,Whistle Stop: Rocky Mountains Expansion,,3,2.6667,2018
61,10,90,"['Card Game', 'Fantasy', 'Humor', 'Medieval', 'Mythology', 'Video Game Theme']",7.271,205738,4,"['Cooperative Play', 'Deck / Pool Building', 'Hand Management']",1,Vikings Gone Wild: Ragnarok!,,2,1.5,2017
62,13,0,"['Wargame', 'World War II']",8.0,179738,1,"['Action Point Allowance System', 'Chit-Pull System', 'Dice Rolling', 'Hex-and-Counter']",1,Ostfront,,0,0.0,2015
63,8,30,"['Abstract Strategy', 'Animals', 'Dice', 'Number']",5.96291,175263,6,"['Area Control / Area Influence', 'Dice Rolling']",2,4 the Birds,12015.0,2,1.0,2016
64,14,240,"['Miniatures', 'Napoleonic', 'Nautical', 'Wargame']",8.0,195450,60,['Simulation'],2,Ships of the Line: Trafalgar 1805,,3,3.0,2016
65,6,40,"['Card Game', 'Dice']",6.24386,183976,4,"['Dice Rolling', 'Press Your Luck', 'Trading']",2,Dice Bazaar,11350.0,5,1.4,2016
66,12,540,"['Political', 'World War I', 'World War II']",8.75385,216220,3,"['Action Point Allowance System', 'Area Control / Area Influence', 'Secret Unit Deployment', 'Voting']",3,Rise of Totalitarianism,,3,4.0,2017
67,13,60,"['Medieval', 'Wargame']",6.325,198445,2,[],2,Kill the King,,2,2.5,2016
68,14,120,['Expansion for Base-game'],7.339519999999999,202325,4,[],1,Mistfall: Sand & Snow,,0,0.0,2016
