,rank,id,name,age,avg_time,min_players,max_players,mechanic,category,weight,year,geek,avg,num_rev
0,,246783,Wildlands: The Unquiet Dead,14,60,2,4,[],"['Expansion for Base-game', 'Miniatures']",2.0,2018,5.653,7.44,108.0
1,12558.0,205776,Gentleman's Deal,12,60,5,9,"['Partnerships', 'Voting']","['Bluffing', 'Negotiation', 'Party Game']",1.0,2016,5.513999999999999,6.21,47.0
2,13663.0,188129,Heroes and Tricks,8,25,2,6,"['Hand Management', 'Trick-taking']","['Deduction', 'Fantasy']",0.0,2017,5.504,5.67,83.0
3,13323.0,206083,Ragers: Champions of the Arena,14,20,2,2,"['Rock-Paper-Scissors', 'Simultaneous Action Selection']","['Card Game', 'Fantasy', 'Fighting']",1.0,2016,5.507000000000001,5.98,36.0
4,6390.0,201006,Bumúntú,8,30,2,5,['Action / Movement Programming'],"['Animals', 'Educational']",2.0,2019,5.603,7.15,95.0
5,,232990,Expedition: The Horror,10,90,1,6,"['Cooperative Play', 'Deck / Pool Building', 'Dice Rolling', 'Role Playing']","['Adventure', 'Card Game', 'Expansion for Base-game', 'Fantasy', 'Horror', 'Print & Play', 'Real-time']",0.0,2017,,7.27,27.0
6,,166048,Hitman Holiday,12,60,2,10,"['Hand Management', 'Memory', 'Player Elimination', 'Point to Point Movement']","['Bluffing', 'Deduction', 'Murder/Mystery']",2.75,2015,,5.71,25.0
7,3426.0,256839,VektoRace,12,120,2,4,"['Action / Movement Programming', 'Simulation']","['Racing', 'Sports']",2.3333,2018,5.785,8.32,196.0
8,6801.0,258104,Tribes: Dawn of Humanity,10,45,2,4,"['Grid Movement', 'Tile Placement']","['Ancient', 'Civilization', 'Exploration', 'Prehistoric', 'Territory Building']",2.4,2018,5.59,6.8,99.0
9,,182410,The First Crusade,0,0,1,1,['Area Movement'],"['Ancient', 'Wargame']",2.0,2016,,6.9,26.0
10,11613.0,240096,Moonshiners of the Apocalypse,14,90,1,4,"['Action Point Allowance System', 'Area Control / Area Influence', 'Dice Rolling', 'Modular Board', 'Tile Placement', 'Worker Placement']","['Adventure', 'Exploration', 'Territory Building']",2.2105,2019,5.523,8.59,30.0
11,5451.0,241796,Nut So Fast,8,20,3,6,['Pattern Recognition'],"['Action / Dexterity', 'Party Game']",1.0,2018,5.636,7.03,157.0
12,10965.0,194231,Poker Assault,10,25,2,4,[],"['Bluffing', 'Card Game']",2.0,2016,5.529,6.36,48.0
13,,256608,Ghost Fightin' Treasure Hunters: Creepy Cellar Expansion,8,60,2,4,"['Cooperative Play', 'Dice Rolling', 'Roll / Spin and Move']","['Adventure', ""Children's Game"", 'Expansion for Base-game', 'Fantasy']",0.0,2018,5.579,8.18,42.0
14,9524.0,233206,Werebeasts,8,15,3,10,['Set Collection'],"['Deduction', 'Party Game']",1.5,2018,5.542999999999999,6.3,94.0
15,,202104,Hero Realms: Character Pack – Fighter,0,0,2,4,['Deck / Pool Building'],"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Fighting']",2.3333,2016,6.386,7.8,811.0
16,4827.0,248002,TAGS,10,40,2,4,[],"['Real-time', 'Trivia', 'Word Game']",1.25,2018,5.666,6.75,203.0
17,9590.0,220843,Overworld,14,40,2,4,"['Area Enclosure', 'Modular Board', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']","['Exploration', 'Fantasy', 'Territory Building', 'Video Game Theme']",2.0,2019,5.542999999999999,6.94,45.0
18,5842.0,231309,Magic: The Gathering – Explorers of Ixalan,13,30,2,4,"['Hand Management', 'Player Elimination', 'Variable Player Powers']","['Card Game', 'Exploration', 'Fantasy', 'Territory Building']",3.0,2017,5.62,7.32,95.0
19,,231683,Dracula's America: Shadows of the West,14,90,2,8,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Variable Player Powers']","['American West', 'Horror', 'Miniatures', 'Wargame']",0.0,2017,,8.72,16.0
20,,231946,Last Friday: Return to Camp Apache,13,60,3,7,[],['Expansion for Base-game'],0.0,2017,5.553,7.7,33.0
21,,176245,Dune: The Art of Kanly,13,30,2,6,[],"['Bluffing', 'Card Game', 'Deduction', 'Political', 'Print & Play']",2.0,2015,,6.8,11.0
22,10822.0,228509,TravelBattle,12,60,2,2,"['Dice Rolling', 'Grid Movement', 'Modular Board']","['Miniatures', 'Napoleonic', 'Wargame']",2.0,2017,5.53,7.47,30.0
23,,193436,Double Ditto,10,30,4,99,[],['Party Game'],1.0,2015,,6.45,26.0
24,,264078,Coimbra: Royal Treatment,14,90,2,4,"['Card Drafting', 'Dice Rolling', 'Set Collection']","['Dice', 'Expansion for Base-game', 'Renaissance']",0.0,2018,5.564,7.7,41.0
25,,183316,Agricola: Glon­na­cker,12,150,1,5,"['Area Enclosure', 'Card Drafting', 'Hand Management', 'Worker Placement']","['Animals', 'Economic', 'Farming']",0.0,2015,,6.5,20.0
