,Name,geek,avg,num_rev
0,Gloomhaven,8.610,8.90,25210
1,Scythe,8.118,8.28,39867
2,Terraforming Mars,8.243,8.40,39240
3,Arkham Horror: The Card Game,7.919,8.22,17646
4,Kingdom Death: Monster,7.808,8.80,5887
5,Pandemic Legacy: Season 1,8.488,8.64,31271
6,The 7th Continent,7.934,8.42,9029
7,Star Wars: Rebellion,8.164,8.45,16697
8,Blood Rage,7.847,8.03,25706
9,Through the Ages: A New Story of Civilization,8.258,8.53,15811
10,Mansions of Madness: Second Edition,7.875,8.15,16709
11,Rising Sun,7.640,8.01,10732
12,Codenames,7.622,7.71,51149
13,T.I.M.E Stories,7.568,7.76,19057
14,Great Western Trail,8.084,8.29,19399
15,Spirit Island,7.999,8.37,11233
16,7 Wonders Duel,7.989,8.12,40896
17,Mechs vs. Minions,7.812,8.13,11192
18,Root,7.648,8.09,7591
19,Gaia Project,8.123,8.54,9414
20,Cthulhu Wars,7.173,7.95,3536
21,Azul,7.778,7.93,28403
22,Twilight Imperium,8.091,8.72,6815
23,Food Chain Magnate,7.857,8.18,9769
24,Massive Darkness,6.666,7.38,3032
25,SeaFall,6.085,6.47,2505
26,A Feast for Odin,7.867,8.18,11287
27,Wasteland Express Delivery Service,6.682,7.55,1907
28,Zombicide: Black Plague,7.357,7.74,9651
29,Clank!: A Deck-Building Adventure,7.613,7.81,17307
30,Charterstone,7.303,7.66,8039
31,Sword & Sorcery,6.974,8.14,2273
32,Conan,6.997,7.82,3233
33,Mysterium,7.253,7.40,23440
34,Santorini,7.454,7.64,17654
35,The Voyages of Marco Polo,7.730,7.94,15506
36,Secret Hitler,7.276,7.59,11448
37,Forbidden Stars,7.495,7.99,6067
38,Dark Souls: The Board Game,6.082,6.65,2504
39,Too Many Bones,7.374,8.52,2544
40,Anachrony,7.666,8.13,7207
41,Inis,7.424,7.79,8496
42,Viticulture Essential Edition,7.929,8.14,17768
43,Clans of Caledonia,7.708,8.06,9063
44,Harry Potter: Hogwarts Battle,7.105,7.52,6933
45,First Martians: Adventures on the Red Planet,6.200,6.75,2097
46,This War of Mine: The Board Game,7.331,7.92,5099
47,Star Wars: Armada,7.211,7.91,3853
48,Captain Sonar,7.408,7.64,12012
49,Pandemic Legacy: Season 2,7.818,8.26,7275
50,Fury of Dracula,7.253,7.57,8322
51,Above and Below,7.251,7.50,10132
52,Dinosaur Island,7.406,7.89,6194
53,Warhammer Quest: The Adventure Card Game,6.934,7.44,4330
54,Fallout,6.496,7.05,3386
55,Kingdomino,7.234,7.38,19996
56,Cry Havoc,6.896,7.31,4826
57,Isle of Skye: From Chieftain to King,7.292,7.46,15697
58,Sagrada,7.376,7.58,14886
59,The Gallerist,7.602,8.01,6850
60,Vast: The Crystal Caverns,6.842,7.28,4468
61,Star Trek: Ascendancy,6.765,7.78,1927
62,The Others,6.736,7.46,2706
63,Aeon's End,7.481,8.07,5247
64,Tiny Epic Galaxies,7.168,7.39,11714
65,Wingspan,7.667,8.10,7338
66,Mythic Battles: Pantheon,7.044,8.63,1825
67,KeyForge: Call of the Archons,7.177,7.66,5707
68,Raiders of the North Sea,7.495,7.82,8765
69,Nemesis,7.142,8.46,2269
70,Photosynthesis,7.019,7.25,10250
71,Champions of Midgard,7.467,7.79,8895
72,Lords of Hellas,7.148,8.05,2978
73,Mombasa,7.594,7.92,8618
74,Teotihuacan: City of Gods,7.454,8.00,4854
75,Century: Spice Road,7.184,7.39,12677
76,Dragonfire,6.452,7.48,1521
77,Runebound,6.955,7.58,3633
78,Near and Far,7.396,7.93,4859
79,Ashes: Rise of the Phoenixborn,6.895,7.39,4406
80,XCOM: The Board Game,6.799,7.09,6856
81,Everdell,7.276,7.97,3781
82,Batman: Gotham City Chronicles,6.402,8.49,813
83,Lisboa,7.532,8.20,4161
84,Trickerion: Legends of Illusion,7.320,7.84,4772
85,Elysium,7.005,7.28,7248
86,Western Legends,6.994,7.75,2914
